M,iv,S,P,K,option,tau
1.2324441379,0.7908,8935.22,13.40283,7250.0,P,0.0219178082
0.8311832558,0.6296,8935.22,8.93522,10750.0,C,0.0219178082
0.8716985366,0.5885,8934.91,22.337275,10250.0,C,0.0219178082
0.8716858537,0.5885,8934.78,22.33695,10250.0,C,0.0219178082
0.9919744444,0.4823,8927.77,232.12202,9000.0,C,0.0219178082
0.8503609524,0.641,8928.79,17.85758,10500.0,C,0.0219178082
0.9929855556,0.4833,8936.87,236.827055,9000.0,C,0.0219178082
0.9923955556,0.4948,8931.56,241.15212,9000.0,C,0.0219178082
1.0825818182,0.5053,8931.3,44.6565,8250.0,P,0.0219178082
1.1908546667,0.722,8931.41,17.86282,7500.0,P,0.0219178082
1.1912333333,0.6837,8934.25,13.401375,7500.0,P,0.0219178082
0.894384,0.5642,8943.84,35.77536,10000.0,C,0.0219178082
0.9914044444,0.4705,8922.64,276.60184,9000.0,P,0.0219178082
1.0498870588,0.4899,8924.04,89.2404,8500.0,P,0.0219178082
1.0489611765,0.4739,8916.17,84.703615,8500.0,P,0.0219178082
1.2298165517,0.7856,8916.17,13.374255,7250.0,P,0.0219178082
1.0798533333,0.5254,8908.79,53.45274,8250.0,P,0.0219178082
1.11356125,0.5436,8908.49,26.72547,8000.0,P,0.0219178082
0.9619708108,0.4689,8898.23,120.126105,9250.0,C,0.0219178082
0.99147,0.4717,8923.23,223.08075,9000.0,C,0.0219178082
0.9912811111,0.4713,8921.53,276.56743,9000.0,P,0.0219178082
1.2291462069,0.7859,8911.31,13.366965,7250.0,P,0.0219178082
0.8289590698,0.6411,8911.31,8.91131,10750.0,C,0.0219178082
1.0483376471,0.4719,8910.87,84.653265,8500.0,P,0.0219178082
1.1881226667,0.7171,8910.92,17.82184,7500.0,P,0.0219178082
1.1498283871,0.6364,8911.17,22.277925,7750.0,P,0.0219178082
1.0180342857,0.4714,8907.8,164.7943,8750.0,P,0.0219178082
0.9906577778,0.4793,8915.92,222.898,9000.0,C,0.0219178082
0.9906577778,0.4793,8915.92,222.898,9000.0,C,0.0219178082
0.892103,0.5572,8921.03,31.223605,10000.0,C,0.0219178082
0.99341,0.4739,8940.69,268.2207,9000.0,P,0.0219178082
1.0202114286,0.4853,8926.85,165.146725,8750.0,P,0.0219178082
0.9918344444,0.4753,8926.51,276.72181,9000.0,P,0.0219178082
0.9919166667,0.4764,8927.25,276.74475,9000.0,P,0.0219178082
0.99171,0.4749,8925.39,276.68709,9000.0,P,0.0219178082
1.0818569697,0.5207,8925.32,49.08926,8250.0,P,0.0219178082
0.9917722222,0.4757,8925.95,276.70445,9000.0,P,0.0219178082
0.9931655556,0.4715,8938.49,268.1547,9000.0,P,0.0219178082
1.0223005714,0.4977,8945.13,380.168025,8750.0,C,0.0219178082
1.0552952941,0.5174,8970.01,578.565645,8500.0,C,0.0219178082
1.0253588571,0.4945,8971.89,394.76316,8750.0,C,0.0219178082
0.9975066667,0.4576,8977.56,246.8829,9000.0,P,0.0219178082
0.9717902703,0.4906,8989.06,157.30855,9250.0,C,0.0219178082
0.9717902703,0.4906,8989.06,157.30855,9250.0,C,0.0219178082
0.9717902703,0.4906,8989.06,157.30855,9250.0,C,0.0219178082
0.9987844444,0.4917,8989.06,260.68274,9000.0,C,0.0219178082
0.899672,0.5531,8996.72,35.98688,10000.0,C,0.0219178082
0.899672,0.5531,8996.72,35.98688,10000.0,C,0.0219178082
0.9473673684,0.494,8999.99,94.499895,9500.0,C,0.0219178082
1.0596776471,0.5058,9007.26,598.98279,8500.0,C,0.0219178082
0.9489736842,0.5046,9015.25,99.16775,9500.0,C,0.0219178082
1.0930206061,0.5315,9017.42,40.57839,8250.0,P,0.0219178082
1.0313771429,0.4761,9024.55,419.641575,8750.0,C,0.0219178082
1.0617117647,0.4928,9024.55,609.157125,8500.0,C,0.0219178082
0.9265876923,0.5164,9034.23,63.23961,9750.0,C,0.0219178082
1.0331234286,0.461,9039.83,424.87201,8750.0,C,0.0219178082
1.0039555556,0.4509,9035.6,271.068,9000.0,C,0.0219178082
1.0621035294,0.5102,9027.88,72.22304,8500.0,P,0.0219178082
0.975427027,0.5027,9022.7,378.9534,9250.0,P,0.0219178082
1.0311657143,0.4962,9022.7,135.3405,8750.0,P,0.0219178082
1.163876129,0.5133,9020.04,1294.37574,7750.0,C,0.0219178082
0.8799014634,0.5862,9018.99,27.05697,10250.0,C,0.0219178082
1.0325222857,0.468,9034.57,121.966695,8750.0,P,0.0219178082
1.0321405714,0.4831,9031.23,433.49904,8750.0,C,0.0219178082
1.0323451429,0.4689,9033.02,121.94577,8750.0,P,0.0219178082
0.9768767568,0.4857,9036.11,176.204145,9250.0,C,0.0219178082
0.977,0.482,9037.25,366.008625,9250.0,P,0.0219178082
0.9774216216,0.4945,9041.15,180.823,9250.0,C,0.0219178082
0.9778854054,0.4987,9045.44,185.43152,9250.0,C,0.0219178082
