price,date_str
14182.11,2017-12-28
15459.99,2017-12-27
15689.01,2017-12-26
13699.34,2017-12-25
13500.0,2017-12-24
13300.0,2017-12-23
13326.61,2017-12-22
15492.64,2017-12-21
16488.98,2017-12-20
17295.2,2017-12-19
18856.25,2017-12-18
18856.25,2017-12-18
18860.02,2017-12-17
19102.66,2017-12-16
17539.83,2017-12-15
16334.98,2017-12-14
16033.29,2017-12-13
16349.99,2017-12-12
16587.97,2017-12-11
14899.98,2017-12-10
14656.07,2017-12-09
15880.0,2017-12-08
16599.0,2017-12-07
13550.05,2017-12-06
11699.99,2017-12-05
11579.0,2017-12-04
11165.41,2017-12-03
10890.01,2017-12-02
10782.99,2017-12-01
9838.96,2017-11-30
9687.88,2017-11-29
9896.8,2017-11-28
9650.0,2017-11-27
9128.02,2017-11-26
8700.01,2017-11-25
8138.0,2017-11-24
8019.99,2017-11-23
8205.92,2017-11-22
8119.51,2017-11-21
8212.0,2017-11-20
8038.0,2017-11-19
7761.94,2017-11-18
7699.19,2017-11-17
7864.5,2017-11-16
7240.06,2017-11-15
6574.99,2017-11-14
6465.99,2017-11-13
5811.03,2017-11-12
6245.05,2017-11-11
6506.98,2017-11-10
7079.99,2017-11-09
7303.0,2017-11-08
7064.04,2017-11-07
6960.12,2017-11-06
7345.01,2017-11-05
7357.09,2017-11-04
7115.04,2017-11-03
7019.98,2017-11-02
6753.98,2017-11-01
6463.0,2017-10-31
6120.5,2017-10-30
6169.98,2017-10-29
5719.64,2017-10-28
5768.83,2017-10-27
5861.77,2017-10-26
5689.99,2017-10-25
5477.03,2017-10-24
5915.93,2017-10-23
5950.02,2017-10-22
6024.97,2017-10-21
6010.01,2017-10-20
5683.9,2017-10-19
5512.06,2017-10-18
5595.0,2017-10-17
5760.02,2017-10-16
5709.99,2017-10-15
5869.99,2017-10-14
5649.98,2017-10-13
5430.0,2017-10-12
4821.43,2017-10-11
4783.06,2017-10-10
4786.95,2017-10-09
4640.0,2017-10-08
4423.0,2017-10-07
4369.0,2017-10-06
4292.43,2017-10-05
4208.59,2017-10-04
4310.0,2017-10-03
4380.0,2017-10-02
4378.48,2017-10-01
4378.51,2017-09-30
4174.69,2017-09-29
4174.5,2017-09-28
4193.0,2017-09-27
3882.35,2017-09-26
3920.75,2017-09-25
3660.02,2017-09-24
3780.0,2017-09-23
3595.87,2017-09-22
3609.99,2017-09-21
3900.0,2017-09-20
3910.04,2017-09-19
4035.01,2017-09-18
3699.99,2017-09-17
3714.95,2017-09-16
3700.0,2017-09-15
3189.02,2017-09-14
3944.69,2017-09-13
4163.72,2017-09-12
4208.47,2017-09-11
4130.37,2017-09-10
4258.81,2017-09-09
4282.8,2017-09-08
4691.61,2017-09-07
4619.77,2017-09-06
4366.47,2017-09-05
4100.11,2017-09-04
4509.08,2017-09-03
4472.14,2017-09-02
4834.91,2017-09-01
4724.89,2017-08-31
4555.14,2017-08-30
4587.48,2017-08-29
4386.69,2017-08-28
4310.01,2017-08-27
4337.44,2017-08-26
4280.68,2017-08-25
4316.01,2017-08-24
4114.01,2017-08-23
4040.0,2017-08-22
4016.0,2017-08-21
4086.29,2017-08-20
4139.98,2017-08-19
4108.37,2017-08-18
4285.08,2017-08-17
